City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1212,Luanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
1213,Sambava,MG,75.7,light rain,-14.27,50.17,Melrose
1215,Kroonstad,ZA,73.9,clear sky,-27.65,27.23,Travel Inn Kroonstad
1217,Natchez,US,78.8,scattered clouds,31.56,-91.4,Hampton Inn & Suites Natchez
1221,Kirksville,US,71.01,clear sky,40.19,-92.58,Budget Host-Village Inn
1223,Puerto Escondido,MX,87.8,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
1224,Sao Felix Do Xingu,BR,88.39,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
1225,Owando,CG,73.2,scattered clouds,-0.48,15.9,Exaunel Hotel Owando
1226,Alto Araguaia,BR,89.73,overcast clouds,-17.31,-53.22,Araguaia Palace Hotel
1229,Mount Isa,AU,77.0,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
1231,Russell,US,70.0,overcast clouds,32.35,-85.2,Macs
1236,Hoopstad,ZA,79.59,clear sky,-27.83,25.91,Fouries Guesthouse
1238,Puerto Madero,MX,86.0,scattered clouds,14.72,-92.42,Hotel La Central
1239,Sinazongwe,ZM,87.3,clear sky,-17.26,27.46,Lakeview Lodge
1243,Manono,CD,75.45,broken clouds,-7.3,27.42,Hotel hewa bora
1244,Bintulu,MY,77.0,light rain,3.17,113.03,900 Boutique INN
1245,Saint Pete Beach,US,84.99,overcast clouds,27.73,-82.74,TradeWinds Island Grand Resort
1246,Mangrol,IN,79.93,clear sky,21.12,70.12,Hotel The Royal Honours
1250,Alta Gracia,AR,89.01,clear sky,-31.65,-64.43,Hotel Ritz
1253,Lucea,JM,77.0,light rain,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
1257,Vanimo,PG,76.1,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
1258,Amuntai,ID,74.5,overcast clouds,-2.42,115.25,Hotel Balqis
1259,Jizan,SA,86.0,clear sky,17.33,42.67,شهدان. ابوالحجر
1261,Banikoara,BJ,80.94,clear sky,11.3,2.44,Hôtel de l'UCom CVPC
1264,Banda Aceh,ID,78.85,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
1265,Niteroi,BR,75.2,broken clouds,-22.88,-43.1,OYO Viareggio Hotel - Niterói
1268,Siddapur,IN,70.57,clear sky,14.33,74.88,Ibbani Homestay
1269,Vao,NC,73.42,broken clouds,-22.67,167.48,Hotel Kou-Bugny
